"","date","means","variable","date.adj"
"exclam44","1912",0.00299745940350282,"exclam",1947
"exclam.line44","1912",NA,"exclam.line",1947
"period44","1912",0.0429511021322034,"period",1947
"period.line44","1912",Inf,"period.line",1947
"comma44","1912",0.0859643383028249,"comma",1947
"comma.line44","1912",Inf,"comma.line",1947
"total44","1912",0.148796195977401,"total",1947
"total.line44","1912",Inf,"total.line",1947
"total.words45","1913",288.247240618102,"total.words",1948
"no.lines45","1913",41.3656181015453,"no.lines",1948
"quest45","1913",0.00649956360066225,"quest",1948
"quest.line45","1913",NA,"quest.line",1948
"exclam45","1913",0.00250259060408389,"exclam",1948
"exclam.line45","1913",NA,"exclam.line",1948
"period45","1913",0.0466771316672185,"period",1948
"period.line45","1913",Inf,"period.line",1948
"comma45","1913",0.0698133335187638,"comma",1948
"comma.line45","1913",NA,"comma.line",1948
"total45","1913",0.139927119599779,"total",1948
"total.line45","1913",Inf,"total.line",1948
"total.words46","1914",156.908968609865,"total.words",1949
"no.lines46","1914",22.8419282511211,"no.lines",1949
"quest46","1914",0.00456380630807175,"quest",1949
"quest.line46","1914",NA,"quest.line",1949
"exclam46","1914",0.00120930894210762,"exclam",1949
"exclam.line46","1914",NA,"exclam.line",1949
"period46","1914",0.050895545332287,"period",1949
"period.line46","1914",NA,"period.line",1949
"comma46","1914",0.0583326330152466,"comma",1949
"comma.line46","1914",NA,"comma.line",1949
"total46","1914",0.126851199789686,"total",1949
