X,segment,ttr,ant1,ant2,syn1,syn2,ant.syn1,ant.syn2
205,102500,0.512295082,2.48373155829e-05,0.0142276423,0.0007616777,0.1382113821,0.0326086957,0.1029411765
206,103000,0.621242485,4.69612178609e-05,0.0197628458,0.0002269792,0.0750988142,0.2068965517,0.2631578947
207,103500,0.5560165975,0.0001001628,0.0367346939,0.0006594049,0.1408163265,0.1518987342,0.2608695652
208,104000,0.6975806452,3.928964325e-05,0.0158415842,0.0002671696,0.0792079208,0.1470588235,0.2
209,104500,0.5731958763,8.04822496398e-05,0.0300601202,0.0003058325,0.0781563126,0.2631578947,0.3846153846
210,105000,0.5268595041,0.000188116,0.0444444444,0.0004825584,0.098989899,0.3898305085,0.4489795918
211,105500,0.4905660377,5.86677394482e-05,0.0224948875,0.0009638271,0.226993865,0.0608695652,0.0990990991
212,106000,0.5237113402,0.0001303356,0.0282258065,0.0012056044,0.2096774194,0.1081081081,0.1346153846
213,106500,0.5525773196,0.0001814014,0.0507099391,0.0009729712,0.1947261663,0.186440678,0.2604166667
214,107000,0.5050916497,0.0001908534,0.0517928287,0.0007872701,0.1593625498,0.2424242424,0.325
215,107500,0.5414141414,0.0001793079,0.0532544379,0.0005457196,0.1183431953,0.3285714286,0.45
216,108000,0.69,2.329590458e-05,0.0118110236,0.0003183774,0.094488189,0.0731707317,0.125
217,108500,0.6372745491,7.92060386684e-06,0.0039761431,0.0003009829,0.0894632207,0.0263157895,0.0444444444
218,109000,0.5891783567,5.63375747479e-05,0.0220440882,0.0006197133,0.1503006012,0.0909090909,0.1466666667
219,109500,0.5434343434,0.0001408837,0.0355731225,0.0009705318,0.1897233202,0.1451612903,0.1875
220,110000,0.5891783567,0.0001493006,0.0396039604,0.0006993556,0.1425742574,0.2134831461,0.2777777778
221,110500,0.5245901639,8.67809018902e-05,0.0297619048,0.0013017135,0.2261904762,0.0666666667,0.1315789474
222,111000,0.5539714868,0.0001770609,0.0561122244,0.0006840991,0.1883767535,0.2588235294,0.2978723404
223,111500,0.5463917526,0.0001523046,0.042,0.00101002,0.196,0.1507936508,0.2142857143
224,112000,0.5504032258,5.54442270679e-05,0.0238568588,0.001140567,0.1769383698,0.0486111111,0.1348314607
225,112500,0.4836065574,0.0001236828,0.0365111562,0.0005029766,0.1460446247,0.2459016393,0.25
226,113000,0.5885947047,6.98877137399e-05,0.0255905512,0.000489214,0.1614173228,0.1428571429,0.1585365854
227,113500,0.4884210526,0.0002290951,0.0699588477,0.0008485003,0.1543209877,0.27,0.4533333333
228,114000,0.5599173554,0.0001330064,0.0366598778,0.000814664,0.16700611,0.1632653061,0.2195121951
229,114500,0.496993988,6.36177843516e-05,0.0239043825,0.0005646078,0.1334661355,0.1126760563,0.1791044776
230,115000,0.5505154639,0.0001792115,0.0463709677,0.0008797654,0.1713709677,0.2037037037,0.2705882353
231,115500,0.5696465696,0.0001986985,0.0467479675,0.0006457702,0.1443089431,0.3076923077,0.323943662
232,116000,0.629778672,0.0001357285,0.0419161677,0.00049501,0.1437125749,0.2741935484,0.2916666667
233,116500,0.581300813,9.77517106549e-05,0.0362903226,0.0004724666,0.1108870968,0.2068965517,0.3272727273
234,117000,0.5244897959,8.78243512974e-05,0.0299401198,0.0008463074,0.1836327345,0.1037735849,0.1630434783
235,117500,0.5708418891,9.77517106549e-05,0.0362903226,0.0006109482,0.1512096774,0.16,0.24
236,118000,0.5755693582,4.9473111364e-05,0.0182555781,0.0005112222,0.1298174442,0.0967741935,0.140625
237,118500,0.537037037,0.0003126253,0.056,0.001258517,0.234,0.2484076433,0.2393162393
238,119000,0.5383022774,0.0001063264,0.0343434343,0.0005888848,0.1353535354,0.1805555556,0.2537313433
239,119500,0.5152749491,0.0004193263,0.0511811024,0.0006755812,0.1811023622,0.6206896552,0.2826086957
240,120000,0.5251046025,4.9473111364e-05,0.0121703854,0.000890516,0.2292089249,0.0555555556,0.0530973451
241,120500,0.5460251046,5.77186299246e-05,0.0223123732,0.0010636719,0.2190669371,0.0542635659,0.1018518519
242,121000,0.4949290061,2.45368666421e-05,0.0101010101,5.72526888316e-05,0.0222222222,0.4285714286,0.4545454545
243,121500,0.5962732919,5.86677394482e-05,0.0204498978,0.0008045861,0.18200409,0.0729166667,0.1123595506
244,122000,0.4918032787,0.0002649314,0.0528455285,0.0010762837,0.1788617886,0.2461538462,0.2954545455
245,122500,0.5717171717,0.0002165747,0.0405405405,0.000970852,0.2007722008,0.2230769231,0.2019230769
246,123000,0.6072144289,8.04822496398e-05,0.0280561122,0.0006116651,0.1362725451,0.1315789474,0.2058823529
247,123500,0.5393939394,9.77517106549e-05,0.0322580645,0.0005783643,0.125,0.1690140845,0.2580645161
248,124000,0.5342741935,0.0003460737,0.0641282565,0.0011347997,0.1803607214,0.304964539,0.3555555556
249,124500,0.5519348269,0.0001033789,0.0278884462,0.001176929,0.2330677291,0.0878378378,0.1196581197
250,125000,0.5571142285,7.07213578501e-05,0.0277227723,0.0013672796,0.2198019802,0.0517241379,0.1261261261
251,125500,0.554,0.0002130077,0.0535714286,0.000820474,0.1944444444,0.2596153846,0.2755102041
252,126000,0.5130260521,0.0001104484,0.0476190476,0.0011754868,0.1785714286,0.0939597315,0.2666666667
253,126500,0.508,0.0002191524,0.0592885375,0.0009470512,0.1699604743,0.2314049587,0.3488372093
254,127000,0.5636363636,0.0001933697,0.0432220039,0.0009049704,0.1787819253,0.2136752137,0.2417582418
255,127500,0.53,0.0001728744,0.0435643564,0.0011786893,0.2178217822,0.1466666667,0.2
256,128000,0.5230460922,0.0001893401,0.0575396825,0.0009703683,0.1666666667,0.1951219512,0.3452380952
